Tanggal,qty,Jumlah
2018-01-18,2865,14754750
2018-01-19,3160,16274000
2018-01-20,3072,15820750
2018-01-21,2183,11242450
2018-01-22,4628,23834200
2018-01-23,4529,23324350
2018-01-24,5243,27001450
2018-01-25,2990,15398500
2018-01-26,5123,26383350
2018-01-27,4531,23334650
2018-01-28,2902,14945300
2018-01-29,3785,19492750
2018-01-30,4347,22387050
2018-01-31,3635,18720250
2018-02-01,4303,22160450
2018-02-02,3435,17690250
2018-02-03,3474,17891100
2018-02-04,3480,17921900
2018-02-05,6399,32954850
2018-02-06,8042,41416300
2018-02-07,7148,36462000
2018-02-08,7369,37950350
2018-02-09,5598,28829700
2018-02-13,4578,23576700
2018-02-14,11276,58071400
2018-02-20,3479,17916850
2018-02-21,8649,44542350
2018-02-22,3727,19194050
2018-03-02,5724,29478000
2018-03-03,2210,11381500
2018-03-04,7934,40860100
2018-03-07,7989,41143350
2018-03-09,5066,26089900
2018-03-10,6158,31713700
2018-03-11,4593,23653950
2018-03-12,7293,37558950
2018-03-13,989,5093350
2018-03-15,7721,39763150
2018-03-18,69,355350
2018-03-20,7658,39438700
2018-03-21,8140,41921000
2018-03-23,6018,30992000
2018-03-24,1942,10001300
2018-03-26,20,103000
2018-03-27,1693,8718950
2018-03-28,6096,31394400
2018-03-29,5174,26646100
2018-03-30,2601,13395150
2018-03-31,3197,16464550
2018-04-01,3173,16340950
2018-04-02,2156,11103400
2018-04-03,2989,15393350
2018-04-04,4315,22222250
2018-04-05,2373,12220950
2018-04-06,5763,29679450
2018-04-07,145,746750
2018-04-08,2376,12236400
2018-04-09,5305,27320750
2018-04-10,3158,16263700
2018-04-11,3817,19657900
2018-04-12,4852,24987800
2018-04-13,4824,24843600
2018-04-14,772,3975800
2018-04-15,3024,15573600
2018-04-16,6765,34839750
2018-04-17,2662,13709300
2018-04-18,5008,25791200
2018-04-19,4690,24154300
2018-04-20,1106,5695900
2018-04-21,4080,21012000
2018-04-22,3140,16171000
2018-04-23,4819,24817850
2018-04-24,5483,28237450
2018-04-25,4175,21501550
2018-04-26,3312,17056800
2018-04-27,4606,23720900
2018-04-28,3526,18158900
2018-04-29,4589,23633350
2018-04-30,5557,28618550
2018-05-01,3965,20419750
2018-05-02,2714,13977100
2018-05-03,6580,33887000
2018-05-04,6384,32877600
2018-05-05,2349,12097350
2018-05-06,5835,30050250
2018-05-07,6091,31368650
2018-05-08,3381,17412150
2018-05-09,7423,38228450
2018-05-10,5232,26944750
2018-05-11,2008,10341850
2018-05-12,894,4604100
2018-05-13,4022,20713300
2018-05-14,5872,30240800
2018-05-15,5387,27743050
2018-05-16,4128,21259200
2018-05-17,4447,22902050
2018-05-18,5112,26337100
2018-05-19,5403,27825450
2018-05-20,3564,18354600
2018-05-21,5526,28458900
2018-05-22,5885,30307750
2018-05-23,5676,29231400
2018-05-24,5948,30632200
2018-05-25,4880,25132000
2018-05-26,4710,24256500
2018-05-27,3544,18251600
2018-05-28,3983,20512450
2018-05-29,3309,17041350
2018-05-30,5325,27413750
2018-05-31,2803,14435450
2018-06-01,5343,27516450
2018-06-02,4259,21933851
2018-06-03,4332,22309800
2018-06-04,7188,37018200
2018-06-05,1732,8919800
2018-06-06,4274,22011100
