Tanggal,qty,Jumlah
2018-06-13,19714,127155300
2018-06-14,18927,122079150
2018-06-15,13380,86301000
2018-06-16,16222,104631900
2018-06-17,12250,79012500
2018-06-18,16353,105476850
2018-06-19,17454,112578300
2018-06-20,18252,117725400
2018-06-21,16888,108927600
2018-06-22,18551,119653950
2018-06-23,18111,116815950
2018-06-24,18491,119266950
2018-06-25,18064,116512800
2018-06-26,19033,122762850
2018-06-27,17315,111681750
2018-06-28,17580,113391000
2018-06-29,18178,117248100
2018-06-30,18320,118164000
2018-07-01,20124,129799800
2018-07-02,17744,114448800
2018-07-03,14211,91660950
2018-07-04,20007,129045150
2018-07-05,5038,32495100
2018-07-06,18646,120266700
2018-07-07,19553,126116850
2018-07-08,20334,131154300
2018-07-09,20640,133128000
2018-07-10,17396,112204200
2018-07-11,18913,121988850
2018-07-12,17105,110327250
2018-07-13,17644,113803800
2018-07-14,17943,115732350
2018-07-15,18411,118750950
2018-07-16,7582,48903900
2018-07-17,19771,127522950
2018-07-18,18943,122182350
2018-07-19,18755,120969750
2018-07-20,18654,120318300
2018-07-21,19235,124065750
2018-07-22,18638,120215100
2018-07-23,19642,126690900
2018-07-24,19514,125865300
2018-07-25,18364,118447800
2018-07-26,18596,119944200
2018-07-27,17585,113423250
2018-07-28,18372,118499400
2018-07-29,17640,113778000
2018-07-30,12926,83372700
2018-07-31,19691,127005950
2018-08-01,19623,126568350
2018-08-02,18425,118841250
2018-08-03,20064,129412800
2018-08-04,19770,127516500
2018-08-05,17351,111913950
2018-08-06,19700,127065000
2018-08-07,15551,100303950
2018-08-08,18444,118963800
2018-08-09,17876,115300200
2018-08-10,17389,112159050
2018-08-11,18449,118996050
2018-08-12,18218,117506100
2018-08-13,18382,118241400
2018-08-14,6388,41202600
2018-08-15,15064,97162800
2018-08-16,18487,119241150
2018-08-17,17984,115996800
2018-08-18,16838,108611100
2018-08-19,17594,113481300
2018-08-20,17752,114500400
2018-08-21,19221,123975450
2018-08-22,13719,88487550
2018-08-23,18080,116616000
2018-08-24,16766,108140700
2018-08-25,18449,118996050
2018-08-26,17398,112167100
2018-08-27,19696,127039200
2018-08-28,17976,115945200
2018-08-29,19787,127626150
2018-08-30,12260,79077000
2018-08-31,12099,78038550
2018-09-01,20145,129935250
2018-09-02,19943,128632350
2018-09-03,14969,96550050
2018-09-04,20461,131973450
2018-09-05,20915,134901750
2018-09-06,17685,114068250
2018-09-07,16008,103251600
2018-09-08,7839,50561550
2018-09-09,15945,102845250
2018-09-10,15820,102039800
2018-09-11,18971,122362950
2018-09-12,20684,133411800
2018-09-13,15806,101948700
2018-09-14,8603,55489350
2018-09-15,21377,137880850
2018-09-16,9365,60504250
2018-09-17,7910,51019500
2018-09-18,15949,102871050
2018-09-19,11842,76380900
2018-09-20,13667,88152150
2018-09-21,19772,127529400
2018-09-22,14097,90925650
2018-09-23,20070,129451500
2018-09-24,10279,66299550
2018-09-25,20201,130296450
2018-09-26,17013,109733850
2018-09-27,13758,88739100
2018-09-28,17916,115558200
2018-09-29,7944,51238800
2018-10-01,23738,153110100
2018-10-02,10120,65274000
2018-10-03,20944,135088800
2018-10-04,15783,101800350
2018-10-05,11717,75574650
2018-10-06,17843,115280850
2018-10-07,10399,67073550
2018-10-08,10190,65725500
2018-10-09,13612,87797400
2018-10-10,7956,51316200
2018-10-11,7908,51006600
2018-10-12,7941,51219450
2018-10-13,7934,51174300
2018-10-14,7933,51167850
2018-10-15,7924,51109800
2018-10-16,7968,51393600
2018-10-17,7946,51251700
2018-10-18,7924,51109800
2018-10-19,7938,51200100
2018-10-20,7934,51174300
2018-10-21,15823,102058350
2018-10-23,7977,51451650
2018-10-24,7924,51109800
2018-10-26,15869,102355050
2018-10-27,15823,102052350
2018-10-28,16690,107631150
2018-10-29,22598,145757100
2018-10-30,12695,81882750
2018-10-31,19136,123427200
2018-11-01,15883,102445350
2018-11-02,19783,127600350
2018-11-03,17181,110817450
2018-11-04,18292,117983400
2018-11-05,15864,102322800
2018-11-06,15812,101987400
2018-11-07,15630,100813500
2018-11-08,16031,103399950
2018-11-09,15818,102026100
2018-11-10,14032,90506400
2018-11-11,14639,94421550
2018-11-12,13455,86784750
2018-11-13,20900,134805000
2018-11-14,15912,102632400
2018-11-15,15821,102045450
2018-11-16,14709,94873050
2018-11-17,16411,105850950
2018-11-18,16291,105076950
2018-11-19,15841,102174450
2018-11-20,7902,50967900
2018-11-21,8956,57766200
2018-11-22,19031,122814450
2018-11-23,15316,98788200
2018-11-24,19975,128838750
2018-11-25,15822,102051900
2018-11-26,15798,101897100
2018-11-27,15822,102051900
2018-11-28,7960,51342000
2018-11-29,7869,50755050
2018-11-30,7903,50974350
2018-12-01,15825,102071250
2018-12-02,15822,102051900
2018-12-03,15813,101993850
2018-12-04,11018,71066100
2018-12-05,15818,102026100
2018-12-06,12136,78277200
2018-12-07,19893,128309850
2018-12-08,18060,116487000
2018-12-09,18038,116345100
2018-12-10,15793,101865850
2018-12-11,13135,84720750
2018-12-12,16648,107379600
2018-12-13,13173,84965850
2018-12-14,17787,114726150
2018-12-15,18439,118931550
2018-12-16,14321,92370450
2018-12-17,14116,91048200
2018-12-18,14897,96085650
2018-12-19,17604,113545800
2018-12-20,18060,116487000
2018-12-21,15820,102039000
2018-12-22,8512,54902400
2018-12-23,21692,139913400
2018-12-24,14863,95866350
2018-12-25,18176,117235200
2018-12-26,9633,62132850
2018-12-27,19730,127258500
2018-12-28,18087,116661150
2018-12-29,6058,39074100
2018-12-30,20681,133392450
2018-12-31,20849,134476050
2019-01-01,11988,77322600
2019-01-02,19670,126871500
2019-01-03,11025,71111250
2019-01-04,19097,123175650
2019-01-05,8298,53522100
2019-01-06,20543,132502350
2019-01-07,12048,77709600
2019-01-08,11795,76077750
2019-01-09,12019,77522550
2019-01-10,12647,81673150
2019-01-11,16714,107805300
2019-01-12,16540,106683000
